WOJ,WOJEWÓDZTWO,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
02,DOLNOŚLĄSKIE,ZUZANNA,KOBIETA,602
02,DOLNOŚLĄSKIE,HANNA,KOBIETA,594
02,DOLNOŚLĄSKIE,JULIA,KOBIETA,571
02,DOLNOŚLĄSKIE,MAJA,KOBIETA,521
02,DOLNOŚLĄSKIE,ZOFIA,KOBIETA,505
02,DOLNOŚLĄSKIE,LENA,KOBIETA,400
02,DOLNOŚLĄSKIE,MARIA,KOBIETA,338
02,DOLNOŚLĄSKIE,AMELIA,KOBIETA,331
02,DOLNOŚLĄSKIE,ALICJA,KOBIETA,329
02,DOLNOŚLĄSKIE,OLIWIA,KOBIETA,326
02,DOLNOŚLĄSKIE,ALEKSANDRA,KOBIETA,301
02,DOLNOŚLĄSKIE,POLA,KOBIETA,296
02,DOLNOŚLĄSKIE,EMILIA,KOBIETA,275
02,DOLNOŚLĄSKIE,LAURA,KOBIETA,254
02,DOLNOŚLĄSKIE,ANTONINA,KOBIETA,251
02,DOLNOŚLĄSKIE,WIKTORIA,KOBIETA,244
02,DOLNOŚLĄSKIE,NATALIA,KOBIETA,229
02,DOLNOŚLĄSKIE,MICHALINA,KOBIETA,224
02,DOLNOŚLĄSKIE,LILIANA,KOBIETA,216
02,DOLNOŚLĄSKIE,HELENA,KOBIETA,213
02,DOLNOŚLĄSKIE,JAGODA,KOBIETA,196
02,DOLNOŚLĄSKIE,ANNA,KOBIETA,186
02,DOLNOŚLĄSKIE,IGA,KOBIETA,185
02,DOLNOŚLĄSKIE,KLARA,KOBIETA,184
02,DOLNOŚLĄSKIE,MARCELINA,KOBIETA,169
02,DOLNOŚLĄSKIE,MILENA,KOBIETA,167
02,DOLNOŚLĄSKIE,NADIA,KOBIETA,159
02,DOLNOŚLĄSKIE,KAJA,KOBIETA,154
02,DOLNOŚLĄSKIE,MARTYNA,KOBIETA,154
02,DOLNOŚLĄSKIE,NELA,KOBIETA,153
02,DOLNOŚLĄSKIE,GABRIELA,KOBIETA,148
02,DOLNOŚLĄSKIE,ANASTAZJA,KOBIETA,135
02,DOLNOŚLĄSKIE,KORNELIA,KOBIETA,129
02,DOLNOŚLĄSKIE,ŁUCJA,KOBIETA,129
02,DOLNOŚLĄSKIE,KAROLINA,KOBIETA,121
02,DOLNOŚLĄSKIE,NINA,KOBIETA,121
02,DOLNOŚLĄSKIE,NIKOLA,KOBIETA,112
02,DOLNOŚLĄSKIE,LILIANNA,KOBIETA,109
