WOJ,WOJEWÓDZTWO,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
02,DOLNOŚLĄSKIE,HANNA,KOBIETA,572
02,DOLNOŚLĄSKIE,JULIA,KOBIETA,548
02,DOLNOŚLĄSKIE,ZOFIA,KOBIETA,529
02,DOLNOŚLĄSKIE,ZUZANNA,KOBIETA,506
02,DOLNOŚLĄSKIE,MAJA,KOBIETA,465
02,DOLNOŚLĄSKIE,OLIWIA,KOBIETA,378
02,DOLNOŚLĄSKIE,LENA,KOBIETA,369
02,DOLNOŚLĄSKIE,ALICJA,KOBIETA,360
02,DOLNOŚLĄSKIE,POLA,KOBIETA,329
02,DOLNOŚLĄSKIE,LAURA,KOBIETA,322
02,DOLNOŚLĄSKIE,MARIA,KOBIETA,322
02,DOLNOŚLĄSKIE,AMELIA,KOBIETA,290
02,DOLNOŚLĄSKIE,EMILIA,KOBIETA,268
02,DOLNOŚLĄSKIE,ANTONINA,KOBIETA,250
02,DOLNOŚLĄSKIE,WIKTORIA,KOBIETA,223
02,DOLNOŚLĄSKIE,MICHALINA,KOBIETA,220
02,DOLNOŚLĄSKIE,ALEKSANDRA,KOBIETA,220
02,DOLNOŚLĄSKIE,IGA,KOBIETA,215
02,DOLNOŚLĄSKIE,KLARA,KOBIETA,214
02,DOLNOŚLĄSKIE,LILIANA,KOBIETA,201
02,DOLNOŚLĄSKIE,HELENA,KOBIETA,194
02,DOLNOŚLĄSKIE,ANNA,KOBIETA,181
02,DOLNOŚLĄSKIE,NATALIA,KOBIETA,175
02,DOLNOŚLĄSKIE,MARCELINA,KOBIETA,174
02,DOLNOŚLĄSKIE,JAGODA,KOBIETA,163
02,DOLNOŚLĄSKIE,KAJA,KOBIETA,163
02,DOLNOŚLĄSKIE,GABRIELA,KOBIETA,148
02,DOLNOŚLĄSKIE,MILENA,KOBIETA,147
02,DOLNOŚLĄSKIE,ŁUCJA,KOBIETA,144
02,DOLNOŚLĄSKIE,NELA,KOBIETA,143
02,DOLNOŚLĄSKIE,NADIA,KOBIETA,139
02,DOLNOŚLĄSKIE,ANASTAZJA,KOBIETA,115
